Rank,Peak,Film,Year,Director,Producer,Language,Worldwide_Gross_INR(Crore),Worldwide_Gross_USD(Million)
1,1,Dangal,2016,Nitesh Tiwari,Aamir Khan Productions  UTV Motion Pictures  Walt Disney Studios India,Hindi,2024.00,311.00
2,1,Baahubali 2: The Conclusion,2017,S. S. Rajamouli,Arka Media Works,Telugu,1810.00,278.00
3,3,Bajrangi Bhaijaan,2015,Kabir Khan,Salman Khan Films  Kabir Khan Films  Eros International,Hindi,969.06,150.00
4,3,Secret Superstar,2017,Advait Chandan,Aamir Khan Productions,Hindi,966.86,154.00
5,1,PK,2014,Rajkumar Hirani,Vinod Chopra Films  Rajkumar Hirani Films,Hindi,832.00,120.00
6,5,2.0,2018,S.Shankar,Lyca Productions,Tamil,800.00,123.00
7,2,Baahubali: The Beginning,2015,S. S. Rajamouli,Arka Media Works,Telugu,650.00,101.00
8,4,Sultan,2016,Ali Abbas Zafar,Yash Raj Films,Hindi,623.33,96.00
9,8,Sanju,2018,Rajkumar Hirani,Rajkumar Hirani FilmsVinod Chopra Films,Hindi,586.85,90.12
10,7,Padmaavat,2018,Sanjay Leela Bhansali,Bhansali Productions Viacom 18 Motion Pictures,Hindi,585.00,90.00
11,8,Tiger Zinda Hai,2017,Ali Abbas Zafar,Yash Raj Films,Hindi,565.10,87.32
12,1,Dhoom 3,2013,Vijay Krishna Acharya,Yash Raj Films,Hindi,556.00,101.00
13,9,War,2019,Siddharth Anand,Yash Raj Films,Hindi,475.50,67.00
14,1,3 Idiots,2009,Rajkumar Hirani,Vinod Chopra Films,Hindi,460.00,88.00
15,14,Andhadhun,2018,Sriram Raghavan,Viacom 18 Motion Pictures Matchbox Pictures,Hindi,456.89,64.00
16,16,Saaho,2019,Sujeeth,UV Creations  T-Series,Telugu,433.06,61.00
17,6,Prem Ratan Dhan Payo,2015,Sooraj R. Barjatya,Fox Star Studios  Rajshri Productions,Hindi,432.00,67.00
18,2,Chennai Express,2013,Rohit Shetty,Red Chillies Entertainment,Hindi,423.00,72.19
19,4,Kick,2014,Sajid Nadiadwala,Nadiadwala Grandson,Hindi,402.00,66.00
20,17,Simmba,2018,Rohit Shetty,Reliance Entertainment  Dharma Productions,Hindi,400.00,61.00
21,5,Happy New Year,2014,Farah Khan,Red Chillies Entertainment,Hindi,397.21,65.08
22,8,Krrish 3,2013,Rakesh Roshan,Filmkraft Productions Pvt. Ltd,Hindi,393.37,61.00
23,10,Dilwale,2015,Rohit Shetty,Red Chillies Entertainment Rohit Shetty Productions,Hindi,376.85,58.00
24,21,Kabir Singh,2019,Sandeep Vanga,Cine1 Studios  T-Series,Hindi,367.68,56.00
25,25,Tanhaji,2020,Om Raut,Ajay Devgn FFilmsT-Series,Hindi,366.36,56.00
